"fips_county","county_name","cases_asd","pop","prevalence_asd","prevalence_asd_ci","map_category"
"55061","Kewaunee","78","4601","1.69528363399261","1.7 (1.4-2.1)","2%"
"55063","La Crosse","405","31394","1.29005542460343","1.3 (1.2-1.4)","1%"
"55065","Lafayette","39","4184","0.932122370936903","0.9 (0.7-1.3)","1%"
"55067","Langlade","63","3887","1.62078723951634","1.6 (1.3-2.1)","2%"
"55069","Lincoln","96","5388","1.78173719376392","1.8 (1.5-2.2)","2%"
"55071","Manitowoc","303","17113","1.77058376672705","1.8 (1.6-2.0)","2%"
"55073","Marathon","365","31858","1.14570908406052","1.1 (1.0-1.3)","1%"
"55075","Marinette","187","8056","2.32125124131082","2.3 (2.0-2.7)","2%"
"55077","Marquette","56","3064","1.82767624020888","1.8 (1.4-2.4)","2%"
"55078","Menominee","27","1509","1.78926441351889","1.8 (1.2-2.6)","2%"
"55079","Milwaukee","3434","237686","1.44476325908972","1.4 (1.4-1.5)","1%"
"55081","Monroe","153","11680","1.30993150684932","1.3 (1.1-1.5)","1%"
"55083","Oconto","148","7941","1.86374512026193","1.9 (1.6-2.2)","2%"
"55085","Oneida","118","6237","1.89193522526856","1.9 (1.6-2.3)","2%"
"55087","Outagamie","905","45907","1.97137691419609","2.0 (1.8-2.1)","2%"
"55089","Ozaukee","263","21130","1.24467581637482","1.2 (1.1-1.4)","1%"
"55091","Pepin","15","1552","0.966494845360825","1.0 (0.6-1.6)","1%"
"55093","Pierce","140","12169","1.15046429451886","1.2 (1.0-1.4)","1%"
"55095","Polk","193","9479","2.03607975524844","2.0 (1.8-2.3)","2%"
"55097","Portage","182","18671","0.97477371324514","1.0 (0.8-1.1)","1%"
"55099","Price","42","2516","1.66931637519873","1.7 (1.2-2.2)","2%"
"55101","Racine","658","47455","1.38657675692762","1.4 (1.3-1.5)","1%"
"55103","Richland","58","3997","1.45108831623718","1.5 (1.1-1.9)","1%"
"55105","Rock","628","39847","1.57602830827917","1.6 (1.5-1.7)","2%"
"55107","Rusk","43","2950","1.45762711864407","1.5 (1.1-2.0)","1%"
"55109","St. Croix","333","22902","1.45402148283993","1.5 (1.3-1.6)","1%"
"55111","Sauk","242","15001","1.61322578494767","1.6 (1.4-1.8)","2%"
"55113","Sawyer","57","3316","1.7189384800965","1.7 (1.3-2.2)","2%"
"55115","Shawano","153","9014","1.69735966274684","1.7 (1.5-2.0)","2%"
"55117","Sheboygan","435","26944","1.61445961995249","1.6 (1.5-1.8)","2%"
"55119","Taylor","43","4873","0.882413297763185","0.9 (0.7-1.2)","1%"
"55121","Trempealeau","99","7233","1.36872666943177","1.4 (1.1-1.7)","1%"
"55123","Vernon","65","7988","0.813720580871307","0.8 (0.6-1.0)","1%"
"55125","Vilas","76","3832","1.98329853862213","2.0 (1.6-2.5)","2%"
"55127","Walworth","296","26713","1.1080747201737","1.1 (1.0-1.2)","1%"
"55129","Washburn","57","3112","1.83161953727506","1.8 (1.4-2.4)","2%"
"55131","Washington","379","31177","1.2156397344196","1.2 (1.1-1.3)","1%"
"55133","Waukesha","1242","92597","1.34129615430306","1.3 (1.3-1.4)","1%"
"55135","Waupaca","193","10837","1.78093568330719","1.8 (1.5-2.0)","2%"
"55137","Waushara","54","4645","1.16254036598493","1.2 (0.9-1.5)","1%"
"55139","Winnebago","666","40585","1.64100036959468","1.6 (1.5-1.8)","2%"
"55141","Wood","237","16145","1.46794673273459","1.5 (1.3-1.7)","1%"
